SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
3,9.14,9.14,4,9.33,9.33,2,8.93,8.93,1,8.73,8.73,6,9.67,9.67,7,9.87,9.87,5,9.43,9.43
3,11.87,21.01,4,11.80,21.13,2,11.97,20.90,1,12.01,20.74,6,11.59,21.26,7,11.54,21.41,5,11.76,21.19
4,10.49,31.50,6,10.65,31.78,3,10.45,31.35,2,10.48,31.22,1,9.86,31.12,7,10.50,31.91,5,10.42,31.61
3,9.86,41.36,6,9.84,41.62,4,10.04,41.39,2,10.04,41.26,1,10.09,41.21,7,9.83,41.74,5,9.87,41.48
1,9.29,50.65,6,9.55,51.17,4,9.56,50.95,2,9.48,50.74,3,9.65,50.86,7,9.59,51.33,5,9.55,51.03
1,9.36,1:00.01,6,9.31,1:00.48,4,9.35,1:00.30,2,9.34,1:00.08,3,9.35,1:00.21,7,9.26,1:00.59,5,9.34,1:00.37
1,9.42,1:09.43,6,9.36,1:09.84,4,9.40,1:09.70,2,9.39,1:09.47,3,9.40,1:09.61,7,9.38,1:09.97,5,9.37,1:09.74
1,9.22,1:18.65,6,9.23,1:19.07,4,9.14,1:18.84,2,9.23,1:18.70,3,9.10,1:18.71,7,9.25,1:19.22,5,9.20,1:18.94
2,9.01,1:27.66,4,8.77,1:27.84,5,9.02,1:27.86,7,9.43,1:28.13,1,8.87,1:27.58,6,8.84,1:28.06,3,8.81,1:27.75
1,8.90,1:36.56,4,8.97,1:36.81,5,9.07,1:36.93,7,9.16,1:37.29,3,9.09,1:36.67,6,8.98,1:37.04,2,8.90,1:36.65
1,8.97,1:45.53,3,8.89,1:45.70,5,8.91,1:45.84,7,8.94,1:46.23,4,9.14,1:45.81,6,8.94,1:45.98,2,8.96,1:45.61
1,8.99,1:54.52,3,8.96,1:54.66,5,9.12,1:54.96,7,9.04,1:55.27,4,8.99,1:54.80,6,9.10,1:55.08,2,9.01,1:54.62
1,9.09,2:03.61,2,9.04,2:03.70,5,9.08,2:04.04,7,9.30,2:04.57,4,9.04,2:03.84,6,9.12,2:04.20,3,9.21,2:03.83
1,9.36,2:12.968,2,9.34,2:13.041,5,9.41,2:13.450,7,9.82,2:14.382,3,9.32,2:13.155,6,9.35,2:13.547,4,9.56,2:13.384
