Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Lasse WILMS POSITION,Lasse WILMS LAP TIME,Lasse WILMS ELAPSED TIME
1,7.08,7.08,3,7.32,7.32,2,7.23,7.23,4,7.47,7.47
1,9.42,16.50,3,9.37,16.69,2,9.34,16.57,4,9.45,16.92
2,9.13,25.63,3,8.99,25.68,1,9.01,25.58,4,9.11,26.03
3,9.23,34.86,2,8.81,34.49,1,8.70,34.28,4,9.26,35.29
3,9.35,44.207,2,8.66,43.147,1,8.80,43.074,4,9.64,44.926
