PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
2,13.16,13.16,1,12.98,12.98,3,13.16,13.16,4,13.35,13.35
3,10.29,23.45,1,10.23,23.21,2,10.18,23.34,4,10.16,23.51
3,10.18,33.63,1,10.18,33.39,2,10.15,33.49,4,10.24,33.75
3,10.09,43.72,2,10.12,43.51,1,10.00,43.49,4,10.10,43.85
3,9.32,53.04,2,9.43,52.94,1,9.37,52.86,4,9.31,53.16
2,9.00,1:02.04,1,9.01,1:01.95,3,9.19,1:02.05,4,9.12,1:02.28
3,9.42,1:11.46,1,9.42,1:11.37,2,9.37,1:11.42,4,9.31,1:11.59
1,8.97,1:20.43,2,9.52,1:20.89,4,10.07,1:21.49,3,9.77,1:21.36
1,9.37,1:29.801,2,9.78,1:30.663,3,9.91,1:31.396,0,,PEN
