Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Duygu KAN POSITION,Duygu KAN LAP TIME,Duygu KAN ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
2,9.38,9.38,5,9.80,9.80,3,9.54,9.54,4,9.68,9.68,6,9.92,9.92,1,9.32,9.32
2,13.14,22.52,5,13.01,22.81,3,13.10,22.64,4,13.06,22.74,6,12.98,22.90,1,13.07,22.39
3,11.73,34.25,6,11.77,34.58,4,11.68,34.32,5,11.67,34.41,2,11.33,34.23,1,11.77,34.16
3,11.04,45.29,6,11.25,45.83,4,11.02,45.34,5,11.02,45.43,1,10.89,45.12,2,11.04,45.20
3,11.29,56.58,6,11.05,56.88,5,11.42,56.76,4,11.24,56.67,1,11.27,56.39,2,11.29,56.49
4,11.34,1:07.92,6,11.43,1:08.31,2,11.06,1:07.82,5,11.44,1:08.11,1,11.37,1:07.76,3,11.36,1:07.85
3,10.51,1:18.43,6,10.88,1:19.19,4,10.71,1:18.53,5,10.43,1:18.54,1,10.50,1:18.26,2,10.48,1:18.33
4,11.35,1:29.78,6,11.12,1:30.31,3,11.00,1:29.53,5,11.24,1:29.78,2,11.05,1:29.31,1,10.95,1:29.28
3,10.08,1:39.86,6,11.33,1:41.64,4,10.71,1:40.24,5,10.76,1:40.54,2,10.43,1:39.74,1,10.36,1:39.64
3,10.48,1:50.34,6,11.38,1:53.02,4,10.91,1:51.15,5,10.72,1:51.26,2,10.50,1:50.24,1,10.48,1:50.12
3,10.43,2:00.77,6,11.92,2:04.94,5,11.52,2:02.67,4,11.37,2:02.63,2,10.43,2:00.67,1,10.44,2:00.56
3,10.58,2:11.35,6,12.36,2:17.30,5,12.09,2:14.76,4,11.59,2:14.22,2,10.57,2:11.24,1,10.57,2:11.13
3,10.44,2:21.79,6,12.42,2:29.72,5,12.75,2:27.51,4,11.86,2:26.08,2,10.48,2:21.72,1,10.41,2:21.54
3,10.65,2:32.433,5,12.73,2:42.448,4,13.24,2:40.748,0,,PEN,2,10.61,2:32.326,1,10.45,2:31.988
