BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
1,8.99,8.99,5,9.58,9.58,4,9.45,9.45,2,9.17,9.17,3,9.35,9.35,6,9.79,9.79
1,13.30,22.29,3,13.02,22.60,5,13.34,22.79,2,13.28,22.45,4,13.30,22.65,6,13.18,22.97
2,11.83,34.12,5,11.87,34.47,1,11.07,33.86,4,11.77,34.22,3,11.54,34.19,6,11.67,34.64
4,10.76,44.88,5,10.65,45.12,1,10.79,44.65,3,10.66,44.88,2,10.58,44.77,6,10.66,45.30
5,11.12,56.00,6,11.20,56.32,1,10.93,55.58,3,10.81,55.69,4,11.06,55.83,2,10.34,55.64
4,9.88,1:05.88,6,9.86,1:06.18,3,10.25,1:05.83,2,10.11,1:05.80,5,10.19,1:06.02,1,10.10,1:05.74
2,10.18,1:16.06,3,10.14,1:16.32,4,19.98,1:25.81,6,35.35,1:41.15,5,21.32,1:27.34,1,10.09,1:15.83
2,10.23,1:26.29,3,10.11,1:26.43,4,11.32,1:37.13,6,14.03,1:55.18,5,11.41,1:38.75,1,10.32,1:26.15
1,10.12,1:36.41,3,10.28,1:36.71,4,10.08,1:47.21,6,14.09,2:09.27,5,11.12,1:49.87,2,10.39,1:36.54
1,10.07,1:46.48,3,10.17,1:46.88,4,10.18,1:57.39,6,11.66,2:20.93,5,11.17,2:01.04,2,10.12,1:46.66
2,9.79,1:56.27,3,9.85,1:56.73,4,10.46,2:07.85,6,11.68,2:32.61,5,10.80,2:11.84,1,9.58,1:56.24
1,9.46,2:05.73,3,9.85,2:06.58,4,11.06,2:18.91,6,11.47,2:44.08,5,11.18,2:23.02,2,9.50,2:05.74
1,9.16,2:14.89,3,9.97,2:16.55,4,11.31,2:30.22,6,11.41,2:55.49,5,11.32,2:34.34,2,9.30,2:15.04
1,9.12,2:24.007,3,10.16,2:26.705,0,,PEN,5,16.06,3:11.543,4,14.50,2:48.838,2,9.03,2:24.069
