PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Mikhail-Jeonghan CHOI POSITION,Mikhail-Jeonghan CHOI LAP TIME,Mikhail-Jeonghan CHOI ELAPSED TIME,KIM Sunghan POSITION,KIM Sunghan LAP TIME,KIM Sunghan ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,12.37,12.37,1,12.27,12.27,4,12.60,12.60,3,12.52,12.52
1,9.50,21.87,2,9.69,21.96,3,9.47,22.07,4,9.71,22.23
4,10.34,32.21,3,9.62,31.58,1,9.40,31.47,2,9.25,31.48
1,8.72,40.93,4,9.61,41.19,3,9.62,41.09,2,9.52,41.00
1,9.39,50.32,4,9.67,50.86,3,9.68,50.77,2,9.49,50.49
1,9.74,1:00.06,4,9.62,1:00.48,2,9.31,1:00.08,3,9.81,1:00.30
1,9.34,1:09.40,4,9.62,1:10.10,2,9.62,1:09.70,3,9.62,1:09.92
1,9.88,1:19.28,3,9.46,1:19.56,2,9.68,1:19.38,4,10.05,1:19.97
1,10.19,1:29.470,2,10.24,1:29.793,0,,DQ,3,11.18,1:31.143
