Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
3,12.63,12.63,2,12.58,12.58,4,12.65,12.65,1,12.49,12.49
4,9.53,22.16,2,9.51,22.09,3,9.47,22.12,1,9.44,21.93
4,9.11,31.27,3,9.09,31.18,1,8.87,30.99,2,9.14,31.07
4,9.00,40.27,3,8.96,40.14,1,9.01,40.00,2,9.01,40.08
4,8.91,49.18,3,8.92,49.06,1,8.85,48.85,2,8.87,48.95
4,8.78,57.96,3,8.85,57.91,1,8.85,57.70,2,8.84,57.79
3,9.01,1:06.97,4,9.23,1:07.14,2,9.02,1:06.72,1,8.85,1:06.64
3,9.27,1:16.24,4,9.19,1:16.33,2,9.04,1:15.76,1,8.98,1:15.62
4,9.51,1:25.748,3,9.37,1:25.695,2,9.31,1:25.069,1,9.17,1:24.787
