Andreas TANNER POSITION,Andreas TANNER LAP TIME,Andreas TANNER ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME
1,14.135,14.135,3,14.471,14.471,2,14.177,14.177,4,14.609,14.609
1,11.153,25.287,3,10.936,25.407,2,11.141,25.318,4,11.207,25.816
2,10.556,35.842,3,10.460,35.867,1,10.351,35.669,4,10.377,36.193
4,10.074,45.916,2,9.941,45.807,1,9.935,45.603,3,9.683,45.876
4,9.563,55.478,3,9.610,55.417,1,9.514,55.116,2,9.506,55.382
4,9.899,1:05.377,2,9.288,1:04.705,1,9.309,1:04.425,3,9.428,1:04.809
4,10.175,1:15.551,3,9.622,1:14.326,1,9.664,1:14.088,2,9.298,1:14.106
4,10.579,1:26.130,3,9.553,1:23.879,2,9.562,1:23.650,1,9.198,1:23.304
4,11.47,1:37.591,3,10.16,1:34.036,2,10.09,1:33.733,1,9.64,1:32.936
