Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,CHEN Xin POSITION,CHEN Xin LAP TIME,CHEN Xin ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
1,6.820,6.820,2,7.090,7.090,3,7.110,7.110,4,7.240,7.240
1,9.470,16.290,2,9.450,16.550,3,9.680,16.800,4,9.680,16.920
1,9.310,25.610,2,9.260,25.810,3,9.310,26.110,4,9.310,26.240
2,9.510,35.120,1,9.230,35.050,3,9.470,35.580,4,9.420,35.670
2,9.700,44.830,1,9.570,44.630,4,10.980,46.570,3,9.740,45.410
