Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
4,9.18,9.18,2,8.66,8.66,0,,,0,,,1,8.34,8.34,3,8.80,8.80
3,11.18,20.36,2,11.30,19.97,0,,,5,0.00,21.46,1,11.43,19.77,4,11.57,20.37
5,10.52,30.88,2,10.54,30.52,0,,,4,9.40,30.86,1,10.54,30.32,3,10.34,30.72
4,10.56,41.45,2,10.55,41.07,0,,,5,11.36,42.22,1,10.67,40.99,3,10.47,41.19
0,,,3,10.70,51.78,0,,,4,9.63,51.86,1,10.36,51.35,2,10.50,51.69
0,,,4,10.55,1:02.33,0,,,3,10.46,1:02.32,1,10.63,1:01.99,2,10.51,1:02.21
0,,,5,10.75,1:13.09,1,0.00,1:12.80,3,10.74,1:13.06,2,10.89,1:12.88,4,10.85,1:13.07
0,,,3,10.73,1:23.83,4,11.09,1:23.89,5,10.92,1:23.99,1,10.83,1:23.72,2,10.73,1:23.81
0,,,4,10.36,1:34.19,3,10.13,1:34.03,5,10.28,1:34.27,2,10.25,1:33.98,1,10.10,1:33.91
0,,,2,10.25,1:44.45,1,10.34,1:44.38,4,10.30,1:44.58,3,10.52,1:44.50,5,10.82,1:44.74
0,,,1,10.03,1:54.48,3,10.23,1:54.61,5,10.39,1:54.98,2,10.01,1:54.51,4,10.12,1:54.86
0,,,2,9.67,2:04.16,1,9.42,2:04.04,3,9.35,2:04.34,4,9.93,2:04.45,5,9.93,2:04.80
0,,,2,9.47,2:13.64,1,9.27,2:13.31,3,9.29,2:13.64,4,9.47,2:13.92,5,10.00,2:14.80
0,,DNS,3,9.50,2:23.135,1,9.69,2:22.997,2,9.41,2:23.045,4,9.42,2:23.339,5,10.33,2:25.122
