MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
5,14.23,14.23,4,14.20,14.20,3,14.01,14.01,6,14.34,14.34,1,13.87,13.87,2,13.89,
2,9.92,24.15,6,10.27,24.47,5,10.29,24.30,4,9.93,24.27,3,10.34,24.21,1,10.23,
1,9.79,33.94,6,9.97,34.44,5,10.03,34.33,3,9.87,34.14,4,10.06,34.27,2,9.91,
1,10.17,44.11,6,10.23,44.67,5,10.18,44.51,3,10.17,44.31,4,10.15,44.42,2,10.17,
1,10.48,54.59,6,10.38,55.05,5,10.41,54.92,4,10.53,54.84,3,10.35,54.77,2,10.49,
3,10.56,1:05.15,6,10.40,1:05.45,5,10.39,1:05.31,4,10.37,1:05.21,2,10.28,1:05.05,1,10.27,
5,10.58,1:15.73,4,10.06,1:15.51,5,10.42,1:15.73,2,10.05,1:15.26,3,10.30,1:15.35,1,10.15,
6,10.90,1:26.63,4,9.83,1:25.34,5,10.00,1:25.73,2,9.95,1:25.21,3,9.90,1:25.25,1,9.94,
6,11.20,1:37.83,3,10.28,1:35.621,4,10.30,1:36.033,2,9.99,1:35.207,2,9.81,1:35.06,1,9.95,
