TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
2,9.53,9.53,4,9.60,9.60,1,9.43,9.43,3,9.59,9.59,5,9.79,9.79
3,13.43,22.96,4,13.48,23.08,1,13.35,22.78,2,13.25,22.84,5,13.39,23.18
3,12.56,35.52,4,12.52,35.60,1,12.55,35.33,2,12.58,35.42,5,12.52,35.70
4,12.75,48.27,5,12.78,48.38,1,12.67,48.00,2,12.69,48.11,3,12.56,48.26
4,10.70,58.97,5,10.70,59.08,2,10.78,58.78,1,10.59,58.70,3,10.61,58.87
4,10.68,1:09.65,2,10.30,1:09.38,3,10.71,1:09.49,1,10.62,1:09.32,5,10.88,1:09.75
3,10.30,1:19.95,2,10.50,1:19.88,4,10.47,1:19.96,1,10.44,1:19.76,5,10.41,1:20.16
1,10.28,1:30.23,4,10.84,1:30.72,3,10.58,1:30.54,2,10.66,1:30.42,5,10.72,1:30.88
1,10.24,1:40.47,4,10.44,1:41.16,5,10.98,1:41.52,2,10.23,1:40.65,3,10.02,1:40.90
1,10.06,1:50.53,4,10.07,1:51.23,5,10.73,1:52.25,2,10.01,1:50.66,3,9.86,1:50.76
1,9.74,2:00.27,4,9.74,2:00.97,5,11.08,2:03.33,2,9.75,2:00.41,3,9.79,2:00.55
1,9.50,2:09.77,4,9.84,2:10.81,5,11.66,2:14.99,2,9.52,2:09.93,3,9.49,2:10.04
1,9.52,2:19.29,4,10.09,2:20.90,5,11.74,2:26.73,2,9.60,2:19.53,3,9.60,2:19.64
1,9.71,2:28.992,4,10.46,2:31.357,0,,PEN,2,9.83,2:29.360,3,9.83,2:29.468
