Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME
2,14.154,14.154,4,14.258,14.258,1,14.055,14.055,3,14.179,14.179
2,11.327,25.480,4,11.434,25.692,1,11.285,25.339,3,11.418,25.597
4,10.613,36.093,3,10.395,36.086,2,10.662,36.001,1,10.299,35.895
2,9.428,45.521,3,9.512,45.598,4,9.681,45.682,1,9.540,45.435
3,9.346,54.866,4,9.347,54.945,1,8.937,54.619,2,9.340,54.774
4,9.502,1:04.368,3,9.076,1:04.021,1,9.204,1:03.823,2,9.122,1:03.896
3,8.981,1:13.349,1,9.150,1:13.170,2,9.409,1:13.231,4,9.479,1:13.375
4,9.790,1:23.138,2,9.509,1:22.679,1,9.436,1:22.666,3,9.603,1:22.978
4,10.07,1:33.204,2,9.82,1:32.495,1,9.74,1:32.403,3,10.01,1:32.987
