Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME,Alexander MERRIMAN POSITION,Alexander MERRIMAN LAP TIME,Alexander MERRIMAN ELAPSED TIME
0,9.329,9.329,0,9.022,9.022,0,9.172,9.172,0,9.692,9.692,0,9.439,9.439,0,9.364,9.364
0,,,0,11.654,20.675,0,11.654,20.826,0,12.037,21.729,0,11.673,21.112,0,11.253,20.617
0,,32.115,0,11.150,31.825,0,11.042,31.868,0,10.555,32.284,0,11.009,32.121,0,11.287,31.904
0,10.206,42.320,0,10.175,42.000,0,10.229,42.097,0,10.194,42.478,0,9.929,42.050,0,10.016,41.919
0,10.061,52.381,0,9.977,51.977,0,10.156,52.253,0,10.056,52.533,0,10.219,52.269,0,9.932,51.851
0,10.418,1:02.799,0,10.292,1:02.269,0,10.278,1:02.531,0,10.326,1:02.859,0,10.476,1:02.744,0,10.297,1:02.148
0,10.075,1:12.874,0,10.049,1:12.318,0,10.017,1:12.548,0,10.108,1:12.967,0,10.009,1:12.753,0,9.901,1:12.049
0,9.475,1:22.349,0,9.617,1:21.934,0,9.554,1:22.102,0,9.527,1:22.494,0,10.975,1:23.728,0,9.830,1:21.879
0,9.486,1:31.834,0,9.613,1:31.547,0,9.838,1:31.940,0,9.438,1:31.932,0,12.489,1:36.217,0,9.792,1:31.671
0,9.345,1:41.179,0,9.550,1:41.098,0,9.568,1:41.507,0,9.668,1:41.599,0,13.353,1:49.569,0,9.485,1:41.156
0,9.823,1:51.001,0,9.976,1:51.073,0,9.762,1:51.269,0,9.981,1:51.580,0,14.373,2:03.942,0,9.989,1:51.144
0,9.986,2:00.988,0,9.874,2:00.947,0,9.925,2:01.194,0,9.926,2:01.507,0,13.394,2:17.336,0,9.739,2:00.883
0,9.863,2:10.851,0,9.855,2:10.802,0,10.143,2:11.337,0,9.765,2:11.272,0,12.958,2:30.294,0,9.870,2:10.753
0,10.025,2:20.876,0,10.026,2:20.827,0,11.011,2:22.348,0,9.957,2:21.228,0,13.668,2:43.962,0,10.221,2:20.974
