Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
3,12.48,12.48,4,12.57,12.57,1,12.25,12.25,2,12.37,12.37
3,9.36,21.84,4,9.35,21.92,1,9.37,21.62,2,9.38,21.75
3,9.27,31.11,4,9.28,31.20,1,9.30,30.92,2,9.27,31.02
3,9.33,40.44,4,9.34,40.54,1,9.35,40.27,2,9.33,40.35
3,9.37,49.81,4,9.36,49.90,1,9.37,49.64,2,9.38,49.73
3,9.47,59.28,4,9.48,59.38,1,9.46,59.10,2,9.45,59.18
4,9.50,1:08.78,3,9.36,1:08.74,2,9.57,1:08.67,1,9.37,1:08.55
4,10.18,1:18.96,2,9.31,1:18.05,3,9.75,1:18.42,1,9.32,1:17.87
4,10.92,1:29.873,2,9.29,1:27.335,3,10.30,1:28.715,1,9.44,1:27.308
