Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Anna KRASTEVA POSITION,Anna KRASTEVA LAP TIME,Anna KRASTEVA ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
2,11.758,11.758,5,12.293,12.293,1,11.679,11.679,3,12.069,12.069,4,12.123,12.123,6,12.549,12.549
1,15.014,26.772,5,15.015,27.307,2,15.097,26.776,3,15.005,27.074,4,14.978,27.100,6,14.833,27.382
1,13.806,40.577,5,13.776,41.082,2,13.837,40.613,3,13.800,40.873,4,13.834,40.933,6,13.727,41.109
3,13.653,54.230,2,13.139,54.221,1,13.556,54.169,5,13.650,54.523,4,13.537,54.470,6,13.456,54.564
2,12.265,1:06.495,1,12.189,1:06.410,4,12.489,1:06.658,6,12.396,1:06.918,5,12.326,1:06.795,3,12.080,1:06.644
5,11.596,1:18.090,3,11.384,1:17.793,4,11.364,1:18.021,6,11.386,1:18.304,2,10.965,1:17.759,1,11.086,1:17.729
1,11.262,1:29.351,4,11.745,1:29.538,5,11.659,1:29.679,6,11.573,1:29.876,3,11.702,1:29.460,2,11.717,1:29.446
3,11.468,1:40.819,1,11.042,1:40.580,5,11.340,1:41.019,6,11.403,1:41.279,4,11.418,1:40.878,2,11.330,1:40.776
2,10.393,1:51.212,1,10.378,1:50.958,5,10.379,1:51.398,6,10.997,1:52.276,3,10.336,1:51.213,4,10.440,1:51.215
4,10.353,2:01.564,1,10.312,2:01.269,5,10.338,2:01.735,6,11.391,2:03.667,3,10.340,2:01.552,2,10.229,2:01.443
4,10.227,2:11.791,1,10.202,2:11.471,5,10.168,2:11.903,6,12.219,2:15.885,3,10.169,2:11.721,2,10.266,2:11.709
4,10.578,2:22.369,2,10.117,2:21.587,5,10.883,2:22.786,6,12.668,2:28.553,3,10.143,2:21.863,1,9.845,2:21.554
4,10.624,2:32.992,3,10.264,2:31.851,5,10.482,2:33.267,6,12.702,2:41.255,2,9.931,2:31.793,1,9.772,2:31.326
4,10.77,2:43.754,3,10.99,2:42.833,5,10.96,2:44.220,6,13.23,2:54.480,2,10.45,2:42.235,1,10.32,2:41.645
