Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
1,7.40,7.40,2,7.52,7.52,3,7.72,7.72,4,7.80,7.80
1,9.45,16.85,2,9.42,16.94,3,9.37,17.09,4,9.43,17.23
1,9.16,26.01,2,9.14,26.08,3,9.09,26.18,4,9.18,26.41
4,27.29,53.30,1,9.34,35.42,2,9.31,35.49,3,9.22,35.63
4,22.27,1:15.562,1,9.73,45.141,2,9.73,45.220,3,9.93,45.551
