Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Aydin DJEMAL POSITION,Aydin DJEMAL LAP TIME,Aydin DJEMAL ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME
3,14.10,14.10,5,14.36,14.36,1,13.98,13.98,4,14.34,14.34,2,14.08,14.08
2,10.36,24.46,5,10.47,24.83,3,10.59,24.57,1,9.97,24.31,4,10.63,24.71
2,10.12,34.58,5,10.01,34.84,3,10.09,34.66,1,10.17,34.48,4,10.04,34.75
2,9.98,44.56,5,10.10,44.94,3,10.00,44.66,1,9.98,44.46,4,10.07,44.82
2,9.63,54.19,5,9.52,54.46,4,9.70,54.36,1,9.62,54.08,3,9.50,54.32
2,9.43,1:03.62,4,9.37,1:03.83,3,9.43,1:03.79,1,9.49,1:03.57,5,9.54,1:03.86
1,9.18,1:12.80,3,9.19,1:13.02,2,9.21,1:13.00,4,9.53,1:13.10,5,9.66,1:13.52
1,9.17,1:21.97,4,9.89,1:22.91,2,9.07,1:22.07,3,9.64,1:22.74,5,9.86,1:23.38
1,9.19,1:31.147,4,9.74,1:32.647,2,9.17,1:31.234,3,9.82,1:32.546,5,9.87,1:33.234
