Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,12.67,12.67,3,12.77,12.77,2,12.73,12.73,5,12.94,12.94,4,12.82,12.82
4,10.07,22.74,3,9.87,22.64,2,9.87,22.61,5,9.92,22.86,1,9.74,22.56
4,9.59,32.33,3,9.66,32.30,2,9.61,32.22,5,9.55,32.42,1,9.63,32.20
1,9.20,41.54,3,9.30,41.60,2,9.32,41.55,5,9.31,41.74,4,9.49,41.69
1,9.11,50.66,3,9.42,51.03,2,9.30,50.85,5,9.39,51.13,4,9.37,51.07
1,9.26,59.92,4,9.30,1:00.33,3,9.33,1:00.19,5,9.43,1:00.57,2,9.09,1:00.16
1,9.25,1:09.18,4,9.19,1:09.53,2,9.23,1:09.42,5,9.79,1:10.37,3,9.32,1:09.49
1,9.58,1:18.76,4,9.70,1:19.23,2,9.55,1:18.97,5,10.22,1:20.59,3,9.56,1:19.05
2,10.10,1:28.855,3,10.10,1:29.325,5,36.78,1:55.747,4,10.75,1:31.338,1,9.81,1:28.852
