SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,LIU Yifan POSITION,LIU Yifan LAP TIME,LIU Yifan ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Shun SAITO POSITION,Shun SAITO LAP TIME,Shun SAITO ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
1,11.31,11.31,2,11.43,11.43,5,11.78,11.78,3,11.57,11.57,4,11.72,11.72,7,12.22,12.22,6,11.99,11.99
2,17.72,29.03,3,17.66,29.09,5,17.62,29.40,1,17.29,28.86,4,17.51,29.23,7,17.62,29.84,6,17.59,29.58
4,14.30,43.33,2,14.04,43.13,6,14.16,43.56,1,14.18,43.04,3,14.05,43.28,7,14.02,43.86,5,13.95,43.53
5,12.40,55.73,3,12.30,55.43,6,12.27,55.83,1,12.17,55.21,4,12.21,55.49,7,12.12,55.98,2,11.80,55.33
6,10.88,1:06.61,4,10.90,1:06.33,3,10.44,1:06.27,1,10.88,1:06.09,5,10.97,1:06.46,7,10.75,1:06.73,2,10.90,1:06.23
6,9.44,1:16.05,4,9.48,1:15.81,2,9.40,1:15.67,1,9.44,1:15.53,5,9.42,1:15.88,7,9.43,1:16.16,3,9.54,1:15.77
2,9.51,1:25.56,5,10.00,1:25.81,3,10.00,1:25.67,1,9.90,1:25.43,6,9.99,1:25.87,7,9.84,1:26.00,4,9.99,1:25.76
2,9.51,1:35.07,5,9.49,1:35.30,4,9.51,1:35.18,1,9.46,1:34.89,6,9.58,1:35.45,7,9.59,1:35.59,3,9.41,1:35.17
2,9.08,1:44.15,4,9.03,1:44.33,5,9.25,1:44.43,1,9.15,1:44.04,6,9.03,1:44.48,7,9.10,1:44.69,3,9.06,1:44.23
2,9.01,1:53.16,3,8.87,1:53.20,6,9.01,1:53.44,1,8.98,1:53.02,5,8.90,1:53.38,7,8.92,1:53.61,4,9.10,1:53.33
2,8.85,2:02.01,3,9.01,2:02.21,6,8.96,2:02.40,1,8.85,2:01.87,5,9.01,2:02.39,7,8.91,2:02.52,4,8.90,2:02.23
2,8.77,2:10.78,3,8.97,2:11.18,6,8.99,2:11.39,1,8.90,2:10.77,5,8.96,2:11.35,7,8.90,2:11.42,4,9.00,2:11.23
1,9.15,2:19.93,4,9.11,2:20.29,7,9.19,2:20.58,2,9.31,2:20.08,5,9.10,2:20.45,6,9.08,2:20.50,3,8.90,2:20.13
2,9.37,2:29.30,3,9.17,2:29.461,6,9.15,2:29.736,4,9.45,2:29.533,5,9.23,2:29.685,7,9.62,2:30.120,1,9.15,2:29.28
