Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Anna DAVYDENKO POSITION,Anna DAVYDENKO LAP TIME,Anna DAVYDENKO ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
1,12.74,12.74,3,13.41,13.41,2,13.00,13.00,4,13.54,13.54,6,14.00,14.00,5,13.68,13.68
1,10.01,22.75,3,9.57,22.98,2,9.85,22.85,4,9.55,23.09,6,9.64,23.64,5,9.57,23.25
1,9.95,32.70,4,9.90,32.88,2,9.90,32.75,5,9.89,32.98,6,9.64,33.28,3,9.62,32.87
1,9.64,42.34,4,9.71,42.59,3,9.73,42.48,5,9.82,42.80,6,9.86,43.14,2,9.49,42.36
2,9.57,51.91,4,9.60,52.19,3,9.54,52.02,5,9.76,52.56,6,10.39,53.53,1,9.42,51.78
2,9.65,1:01.56,4,9.68,1:01.87,3,9.62,1:01.64,5,11.15,1:03.71,6,10.99,1:04.52,1,9.67,1:01.45
2,9.80,1:11.36,4,9.96,1:11.83,3,9.80,1:11.44,6,12.18,1:15.89,5,10.99,1:15.51,1,9.80,1:11.25
3,10.15,1:21.51,4,10.39,1:22.22,2,9.94,1:21.38,6,12.43,1:28.32,5,11.34,1:26.85,1,10.06,1:21.31
3,10.20,1:31.71,4,10.73,1:32.950,2,10.18,1:31.56,6,13.11,1:41.436,5,11.90,1:38.756,1,10.16,1:31.47
