Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
1,12.24,12.24,4,12.52,12.52,2,12.26,12.26,3,12.41,12.41
1,9.87,22.11,4,9.84,22.36,2,9.86,22.12,3,9.85,22.26
2,9.85,31.96,4,9.77,32.13,1,9.74,31.86,3,9.78,32.04
1,9.47,41.43,4,9.57,41.70,2,9.59,41.45,3,9.54,41.58
2,9.14,50.57,4,9.11,50.81,1,9.06,50.51,3,9.10,50.68
2,8.93,59.50,4,8.92,59.73,1,8.89,59.40,3,8.95,59.63
2,8.87,1:08.37,4,8.83,1:08.56,1,8.89,1:08.29,3,8.83,1:08.46
2,8.85,1:17.22,4,8.82,1:17.38,1,8.84,1:17.13,3,8.86,1:17.32
2,8.89,1:26.104,4,8.81,1:26.183,1,8.92,1:26.041,3,8.83,1:26.145
