LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,16.19,16.19,3,16.39,16.39,2,16.29,16.29
1,13.52,29.71,3,13.50,29.89,2,13.45,29.74
2,11.45,41.16,3,11.39,41.28,1,11.31,41.05
2,9.83,50.99,3,9.83,51.11,1,9.90,50.95
3,9.23,1:00.22,2,8.95,1:00.06,1,9.01,59.96
3,8.94,1:09.16,2,8.99,1:09.05,1,9.03,1:08.99
3,8.93,1:18.09,1,8.76,1:17.81,2,8.93,1:17.92
3,8.54,1:26.63,1,8.63,1:26.44,2,8.64,1:26.56
2,8.69,1:35.319,1,8.71,1:35.146,3,9.08,1:35.635
