Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
3,12.86,12.86,1,12.38,12.38,2,12.54,12.54,4,13.00,13.00
2,9.72,22.58,1,9.99,22.38,3,10.19,22.74,4,9.82,22.83
3,9.59,32.18,1,9.50,31.88,2,9.37,32.11,4,9.75,32.58
2,9.75,41.93,1,9.81,41.70,3,9.99,42.10,4,9.64,42.22
2,9.87,51.81,1,9.86,51.57,3,9.91,52.01,4,9.90,52.12
2,9.45,1:01.27,1,9.60,1:01.17,3,9.28,1:01.29,4,9.45,1:01.58
3,9.26,1:10.54,1,9.32,1:10.49,2,9.24,1:10.54,4,9.21,1:10.79
2,9.24,1:19.78,1,9.03,1:19.53,3,9.35,1:19.89,4,9.35,1:20.14
2,9.43,1:29.210,1,9.58,1:29.104,3,9.48,1:29.366,4,9.76,1:29.900
