KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
4,15.24,15.24,3,15.16,15.16,1,15.04,15.04,2,15.10,15.10
4,12.13,27.37,3,12.12,27.28,1,12.09,27.13,2,12.10,27.20
4,11.68,39.05,3,11.64,38.92,1,11.63,38.76,2,11.65,38.85
4,11.26,50.31,3,11.23,50.15,1,11.28,50.04,2,11.24,50.09
4,11.15,1:01.46,2,11.15,1:01.30,3,11.27,1:01.31,1,10.99,1:01.08
4,9.85,1:11.31,3,9.93,1:11.23,2,9.83,1:11.14,1,10.00,1:11.08
1,9.06,1:20.37,4,9.64,1:20.87,3,9.59,1:20.73,2,9.64,1:20.72
1,8.96,1:29.33,4,9.39,1:30.26,3,9.41,1:30.14,2,9.14,1:29.86
1,9.26,1:38.586,4,9.86,1:40.112,3,9.20,1:39.335,2,9.31,1:39.161
