Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,7.55,7.55,2,7.67,7.67,4,7.89,7.89,3,7.81,7.81
1,9.85,17.40,2,9.86,17.53,4,9.85,17.74,3,9.83,17.64
1,9.41,26.81,2,9.37,26.90,3,9.28,27.02,4,9.44,27.08
2,9.63,36.44,1,9.48,36.38,3,9.45,36.47,4,9.53,36.61
2,10.13,46.567,4,10.58,46.959,1,9.83,46.292,3,10.01,46.615
