Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Luca LIM POSITION,Luca LIM LAP TIME,Luca LIM ELAPSED TIME
3,13.99,13.99,4,14.16,14.16,6,14.42,14.42,1,13.85,13.85,5,14.31,,2,13.93,13.93
6,10.63,24.62,5,10.34,24.50,3,10.04,24.46,1,10.48,24.33,4,10.16,,2,10.44,24.37
6,9.76,34.38,5,9.72,34.22,1,9.18,33.64,2,9.44,33.77,4,9.58,,3,9.58,33.95
6,9.21,43.59,5,9.23,43.45,1,9.23,42.87,2,9.11,42.88,4,9.11,,3,9.11,43.06
6,9.19,52.78,5,9.22,52.67,2,9.30,52.17,1,9.18,52.06,4,9.27,,3,9.25,52.31
6,9.43,1:02.21,5,9.42,1:02.09,2,9.28,1:01.45,1,9.23,1:01.29,4,9.37,,3,9.38,1:01.69
5,9.51,1:11.72,6,9.79,1:11.88,2,9.39,1:10.84,1,9.43,1:10.72,3,9.39,,4,9.68,1:11.37
5,9.91,1:21.63,6,10.29,1:22.17,2,9.69,1:20.53,1,9.70,1:20.42,3,9.49,,4,9.89,1:21.26
5,10.41,1:32.04,6,10.90,1:33.07,2,9.97,1:30.50,1,9.89,1:30.31,3,9.93,,4,10.09,1:31.35
