Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
2,8.230,8.230,6,8.710,8.710,5,8.640,8.640,1,7.810,7.810,4,8.520,8.520,3,8.470,8.470
4,12.290,20.530,6,12.090,20.810,3,11.850,20.490,1,12.420,20.230,2,11.900,20.420,5,12.120,20.600
5,11.700,32.230,6,11.670,32.480,2,11.550,32.050,4,11.930,32.170,3,11.720,32.140,1,11.230,31.830
2,11.370,43.600,6,11.490,43.970,1,11.440,43.490,4,11.460,43.640,2,11.460,43.600,5,11.830,43.660
2,10.780,54.390,6,10.850,54.820,5,11.080,54.570,1,10.630,54.270,4,10.910,54.520,3,10.740,54.400
4,11.520,1:05.910,6,11.400,1:06.230,3,11.330,1:05.900,5,11.700,1:05.980,2,11.350,1:05.880,1,11.390,1:05.790
1,10.280,1:16.190,6,10.490,1:16.720,5,10.660,1:16.570,3,10.470,1:16.450,4,10.610,1:16.500,2,10.630,1:16.430
2,9.840,1:26.040,6,9.670,1:26.390,1,9.420,1:25.990,3,9.730,1:26.190,4,9.850,1:26.350,5,9.920,1:26.350
2,9.920,1:35.960,5,10.120,1:36.510,3,10.210,1:36.200,1,9.630,1:35.820,4,10.070,1:36.420,6,10.270,1:36.630
1,10.240,1:46.200,5,10.290,1:46.810,2,10.230,1:46.440,4,10.990,1:46.810,3,10.250,1:46.670,6,10.250,1:46.880
1,9.880,1:56.090,5,10.030,1:56.850,4,10.270,1:56.710,2,9.810,1:56.620,3,10.010,1:56.690,6,10.180,1:57.070
1,10.320,2:06.420,4,10.160,2:07.020,2,9.960,2:06.670,5,10.700,2:07.320,3,10.230,2:06.920,6,10.980,2:08.060
1,10.330,2:16.750,3,10.260,2:17.280,4,10.610,2:17.290,5,10.120,2:17.440,2,10.100,2:17.020,6,11.160,2:19.220
1,10.550,2:27.310,4,10.260,2:27.540,3,10.240,2:27.540,2,10.080,2:27.530,5,10.650,2:27.680,6,11.050,2:30.270
