Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,6.84,6.84,2,6.99,6.99,3,7.14,7.14,4,7.27,7.27
1,9.08,15.92,2,9.01,16.00,3,8.95,16.09,4,8.92,16.19
1,8.64,24.56,2,8.66,24.66,3,8.66,24.75,4,8.68,24.87
2,8.47,33.03,1,8.32,32.98,4,8.43,33.18,3,8.28,33.15
2,8.83,41.855,1,8.80,41.778,4,8.99,42.167,3,8.79,41.931
