Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME
1,9.56,9.56,3,9.89,9.89,2,9.75,9.75,5,10.29,10.29,6,10.43,10.43,4,10.01,10.01
1,12.41,21.97,3,12.29,22.18,2,12.34,22.09,5,12.21,22.50,6,12.16,22.59,4,12.32,22.33
1,11.11,33.08,3,11.09,33.27,2,11.10,33.19,5,11.04,33.54,6,11.03,33.62,4,11.00,33.33
1,10.77,43.85,3,10.77,44.04,2,10.78,43.97,5,10.85,44.39,6,10.89,44.51,4,10.86,44.19
1,10.56,54.41,3,10.55,54.59,2,10.53,54.50,5,10.53,54.92,6,10.50,55.01,4,10.53,54.72
1,10.24,1:04.65,3,10.13,1:04.72,5,10.25,1:04.75,2,9.74,1:04.66,4,9.71,1:04.72,6,10.15,1:04.87
2,9.30,1:13.95,3,9.30,1:14.02,6,9.47,1:14.22,1,9.18,1:13.84,4,9.33,1:14.05,5,9.27,1:14.14
2,9.29,1:23.24,3,9.31,1:23.33,6,9.47,1:23.69,1,9.28,1:23.12,4,9.41,1:23.46,5,9.40,1:23.54
2,9.49,1:32.73,3,9.49,1:32.82,6,9.42,1:33.11,1,9.52,1:32.64,4,9.46,1:32.92,5,9.45,1:32.99
2,9.52,1:42.25,3,9.55,1:42.37,6,9.63,1:42.74,1,9.53,1:42.17,4,9.57,1:42.49,5,9.61,1:42.60
2,9.23,1:51.48,3,9.18,1:51.55,6,9.42,1:52.16,1,9.19,1:51.36,4,9.22,1:51.71,5,9.20,1:51.80
2,9.26,2:00.74,4,9.28,2:00.83,6,9.50,2:01.66,1,9.31,2:00.67,3,9.10,2:00.81,5,9.23,2:01.03
1,9.29,2:10.03,2,9.32,2:10.15,4,9.93,2:11.59,6,27.26,2:27.93,5,20.60,2:21.41,3,9.39,2:10.42
1,9.58,2:19.605,2,9.56,2:19.702,4,9.99,2:21.577,5,21.07,2:49.000,6,27.80,2:49.202,3,9.63,2:20.049
