AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,13.34,13.34,5,13.81,13.81,1,13.26,13.26,3,13.49,13.49,4,13.71,13.71
2,10.35,23.69,5,10.35,24.16,1,10.32,23.58,3,10.31,23.80,4,10.24,23.95
4,9.80,33.49,5,9.63,33.79,2,9.82,33.40,1,9.48,33.28,3,9.47,33.42
3,9.42,42.91,5,9.41,43.20,4,9.59,42.99,1,9.38,42.66,2,9.39,42.81
3,9.23,52.14,5,9.34,52.54,4,9.37,52.36,1,9.27,51.93,2,9.23,52.04
3,9.14,1:01.28,5,9.65,1:02.19,4,9.12,1:01.48,1,9.16,1:01.09,2,9.09,1:01.13
3,9.12,1:10.40,5,10.08,1:12.27,4,9.13,1:10.61,1,8.88,1:09.97,2,9.04,1:10.17
3,9.40,1:19.80,5,10.75,1:23.02,4,9.41,1:20.02,1,9.15,1:19.12,2,9.04,1:19.21
3,9.77,1:29.569,5,11.57,1:34.590,4,9.86,1:29.875,1,9.46,1:28.572,2,9.46,1:28.669
