Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME
3,6.892,6.892,1,6.748,6.748,2,6.816,6.816,4,6.938,6.938
2,8.981,15.873,3,9.208,15.956,1,8.991,15.807,4,9.337,16.274
1,8.715,24.587,2,8.758,24.714,4,9.138,24.944,3,8.587,24.860
1,8.801,33.388,2,8.783,33.497,4,8.936,33.880,3,8.715,33.575
1,9.14,42.524,2,9.09,42.586,0,,DQ,3,9.15,42.721
