LI Kongchao POSITION,LI Kongchao LAP TIME,LI Kongchao ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,8.58,8.58,4,8.88,,2,8.75,8.75,5,8.99,8.99,3,8.78,8.78,6,9.18,9.18
2,11.18,19.76,6,11.23,,3,11.14,19.89,4,10.99,19.98,1,10.86,19.64,5,10.92,20.10
3,11.03,30.79,6,11.02,,2,10.87,30.76,4,10.93,30.91,1,11.03,30.67,5,10.82,30.92
3,10.26,41.05,6,10.37,,1,10.15,40.91,4,10.25,41.16,2,10.32,40.99,5,10.42,41.34
3,9.90,50.95,6,9.88,,2,10.03,50.94,4,9.83,50.99,1,9.75,50.74,5,9.81,51.15
2,9.70,1:00.65,6,9.67,,5,10.00,1:00.94,4,9.74,1:00.73,1,9.82,1:00.56,2,9.50,1:00.65
4,9.53,1:10.18,6,9.53,,5,9.47,1:10.41,3,9.43,1:10.16,2,9.52,1:10.08,1,9.35,1:10.00
3,9.42,1:19.60,6,9.42,,5,9.37,1:19.78,1,9.20,1:19.36,4,9.60,1:19.68,2,9.48,1:19.48
3,9.39,1:28.99,6,9.66,,5,9.52,1:29.30,1,9.44,1:28.80,4,9.48,1:29.16,2,9.40,1:28.88
3,9.50,1:38.49,6,10.53,,5,9.45,1:38.75,1,9.56,1:38.36,4,9.44,1:38.60,2,9.51,1:38.39
2,9.36,1:47.85,6,11.56,,5,9.51,1:48.26,4,9.75,1:48.11,3,9.32,1:47.92,1,9.10,1:47.49
3,9.52,1:57.37,6,12.37,,5,9.66,1:57.92,4,9.61,1:57.72,2,9.30,1:57.22,1,9.06,1:56.55
3,9.80,2:07.17,6,13.67,,5,10.20,2:08.12,4,9.75,2:07.47,2,9.64,2:06.86,1,9.23,2:05.78
3,10.15,2:17.32,6,13.42,2:31.21,5,10.65,2:18.77,4,10.27,2:17.74,2,10.10,2:16.96,1,9.81,2:15.59
