LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
0,8.872,8.872,0,8.650,8.650,0,8.467,8.467,0,8.616,8.616,0,8.924,8.924
0,11.902,20.774,0,11.998,20.649,0,11.938,20.404,0,12.047,20.663,0,11.843,20.767
0,12.086,32.859,0,12.055,32.704,0,12.128,32.533,0,12.097,32.760,0,12.115,32.882
0,11.426,44.285,0,11.803,44.507,0,11.849,44.382,0,11.755,44.514,0,11.641,44.523
0,11.209,55.494,0,11.205,55.712,0,11.218,55.600,0,10.980,55.494,0,11.368,55.890
0,10.683,1:06.177,0,10.111,1:05.822,0,10.669,1:06.269,0,10.659,1:06.153,0,10.490,1:06.380
0,10.123,1:16.300,0,10.135,1:15.957,0,10.102,1:16.371,0,9.931,1:16.085,0,10.130,1:16.510
0,10.009,1:26.310,0,10.176,1:26.134,0,9.991,1:26.362,0,10.043,1:26.127,0,9.820,1:26.330
0,9.701,1:36.011,0,9.812,1:35.946,0,9.898,1:36.260,0,9.982,1:36.109,0,9.981,1:36.311
0,9.762,1:45.773,0,9.909,1:45.854,0,9.766,1:46.026,0,9.872,1:45.981,0,9.899,1:46.210
0,9.686,1:55.459,0,9.501,1:55.356,0,9.520,1:55.546,0,9.431,1:55.411,0,9.467,1:55.677
0,9.354,2:04.812,0,9.169,2:04.524,0,9.346,2:04.891,0,9.222,2:04.633,0,9.355,2:05.032
0,10.283,2:15.096,0,9.336,2:13.860,0,9.394,2:14.286,0,9.287,2:13.921,0,9.650,2:14.682
0,10.786,2:25.881,0,9.598,2:23.458,0,9.742,2:24.027,0,9.535,2:23.455,0,10.085,2:24.766
