FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
4,19.42,19.42,2,19.12,19.12,3,19.25,19.25,1,18.86,18.86
1,16.06,35.48,4,16.53,35.65,2,16.26,35.51,3,16.73,35.59
2,13.63,49.11,1,13.42,49.07,3,13.64,49.15,4,13.59,49.18
1,10.74,59.85,2,10.86,59.93,4,10.84,59.99,3,10.75,59.93
2,9.75,1:09.60,4,10.15,1:10.08,1,9.42,1:09.41,3,9.91,1:09.84
2,9.17,1:18.77,4,8.94,1:19.02,1,9.34,1:18.75,3,9.14,1:18.98
4,33.14,1:51.91,1,9.16,1:28.18,3,9.75,1:28.50,2,9.36,1:28.34
4,12.72,2:04.63,1,9.31,1:37.49,3,9.47,1:37.97,2,9.25,1:37.59
3,12.88,2:17.507,1,9.85,1:47.337,0,,PEN,2,23.60,2:01.182
