AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME
1,9.46,9.46,2,9.64,9.64,4,9.97,9.97,3,9.81,9.81,5,10.11,10.11
1,13.60,23.06,2,13.50,23.14,4,13.46,23.43,3,13.46,23.27,5,13.47,23.58
1,12.99,36.05,2,13.01,36.15,4,13.01,36.44,3,13.02,36.29,5,13.00,36.58
2,11.91,47.96,3,11.93,48.08,1,11.04,47.48,4,11.98,48.27,5,11.83,48.41
4,10.54,58.50,2,10.33,58.41,1,10.90,58.38,3,10.21,58.48,5,10.26,58.67
3,10.01,1:08.51,1,9.92,1:08.33,4,10.15,1:08.53,2,9.95,1:08.43,5,10.06,1:08.73
4,10.05,1:18.56,2,9.94,1:18.27,3,9.86,1:18.39,1,9.71,1:18.14,5,9.97,1:18.70
2,9.41,1:27.97,3,9.72,1:27.99,4,9.76,1:28.15,1,9.64,1:27.78,5,9.52,1:28.22
2,9.45,1:37.42,3,9.56,1:37.55,4,9.53,1:37.68,1,9.52,1:37.30,5,9.62,1:37.84
2,9.31,1:46.73,3,9.29,1:46.84,4,9.29,1:46.97,1,9.32,1:46.62,5,9.23,1:47.07
3,9.25,1:55.98,2,9.10,1:55.94,4,9.15,1:56.12,1,9.22,1:55.84,5,9.16,1:56.23
4,9.22,2:05.20,2,9.11,2:05.05,3,9.04,2:05.16,1,9.11,2:04.95,5,9.03,2:05.26
5,9.36,2:14.56,2,9.04,2:14.09,4,9.15,2:14.31,1,9.06,2:14.01,3,8.95,2:14.21
5,9.89,2:24.429,3,9.28,2:23.354,4,9.26,2:23.560,1,9.25,2:23.249,2,9.11,2:23.312
