JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
2,12.66,12.66,1,12.43,12.43,4,12.83,12.83,3,12.82,12.82
2,9.73,22.39,1,9.67,22.11,3,9.58,22.42,4,9.95,22.78
1,9.76,32.15,3,10.18,32.29,2,9.86,32.28,4,9.74,32.52
1,9.67,41.83,2,9.55,41.84,3,9.59,41.87,4,9.68,42.21
1,9.92,51.76,2,9.96,51.81,3,10.04,51.92,4,9.91,52.12
1,9.90,1:01.67,2,9.95,1:01.76,3,9.91,1:01.83,4,9.94,1:02.07
3,9.94,1:11.61,2,9.83,1:11.60,1,9.75,1:11.59,4,9.91,1:11.98
3,9.83,1:21.44,1,9.56,1:21.17,2,9.85,1:21.44,4,9.83,1:21.81
1,9.98,1:31.415,2,10.31,1:31.472,3,10.32,1:31.755,4,10.10,1:31.903
