Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Shani DAVIS POSITION,Shani DAVIS LAP TIME,Shani DAVIS ELAPSED TIME
1,13.610,13.610,3,13.720,13.720,4,13.790,13.790,2,13.700,13.700
1,10.200,23.810,4,10.390,24.110,2,10.070,23.860,3,10.310,24.010
1,10.140,33.960,4,10.180,34.300,3,10.210,34.070,2,10.030,34.050
3,9.870,43.830,4,9.900,44.200,1,9.690,43.770,2,9.780,43.830
3,9.890,53.720,2,9.270,53.480,4,10.030,53.810,1,9.630,53.470
4,9.720,1:03.450,3,9.930,1:03.410,2,9.570,1:03.380,1,9.790,1:03.260
3,9.690,1:13.150,4,10.790,1:14.210,1,9.750,1:13.130,2,9.880,1:13.140
2,10.040,1:23.190,4,11.020,1:25.240,3,10.080,1:23.220,1,9.950,1:23.090
2,10.150,1:33.350,4,11.520,1:36.770,1,9.730,1:32.950,3,10.280,1:33.380
