Brandon KIM POSITION,Brandon KIM LAP TIME,Brandon KIM ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,NOGRADI Bence POSITION,NOGRADI Bence LAP TIME,NOGRADI Bence ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME
1,6.98,6.98,2,7.09,7.09,3,7.20,7.20,5,15.52,15.52,4,7.47,
1,8.98,15.96,2,8.96,16.05,3,9.03,16.23,5,14.42,29.94,4,9.28,
1,8.73,24.69,2,8.65,24.70,3,8.60,24.83,5,9.65,39.59,4,8.93,
3,9.04,33.73,1,8.47,33.17,2,8.89,33.72,5,9.18,48.77,4,8.95,
3,9.38,43.119,1,8.66,41.83,2,8.92,42.64,4,9.20,57.975,4,9.06,
