Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
2,9.51,9.51,5,9.77,9.77,4,9.63,9.63,3,9.53,9.53,1,9.46,9.46
1,12.07,21.58,3,11.87,21.64,4,12.02,21.65,5,12.31,21.85,2,12.15,21.62
1,10.86,32.44,2,10.99,32.64,4,11.04,32.69,5,11.18,33.03,3,11.05,32.67
1,11.23,43.67,2,11.04,43.69,3,11.16,43.85,5,11.13,44.17,4,11.34,44.01
1,10.97,54.65,2,11.20,54.89,3,11.23,55.09,5,11.18,55.35,4,11.13,55.15
1,10.29,1:04.94,4,10.40,1:05.30,2,10.02,1:05.12,5,10.14,1:05.50,3,10.11,1:05.26
1,9.99,1:14.94,3,9.92,1:15.23,2,9.97,1:15.10,4,9.77,1:15.27,5,10.13,1:15.39
1,9.43,1:24.37,3,9.49,1:24.72,4,10.36,1:25.46,2,9.18,1:24.45,0,,
1,9.32,1:33.70,4,9.30,1:34.03,2,8.35,1:33.82,3,9.55,1:34.01,5,0.00,1:34.33
1,9.29,1:42.99,4,9.38,1:43.41,2,9.30,1:43.12,3,9.36,1:43.38,5,9.84,1:44.17
1,9.46,1:52.45,3,9.31,1:52.73,2,9.33,1:52.45,4,9.35,1:52.73,5,10.08,1:54.26
1,9.55,2:02.00,4,9.70,2:02.43,2,9.71,2:02.17,3,9.67,2:02.41,5,10.72,2:04.99
1,9.73,2:11.74,4,11.00,2:13.43,2,9.69,2:11.86,3,9.65,2:12.06,5,10.98,2:15.98
1,10.17,2:21.902,5,15.20,2:28.621,2,10.20,2:22.059,3,10.05,2:22.107,4,11.45,2:27.425
