YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME
2,7.18,7.18,1,6.87,6.87,3,7.29,7.29,4,7.42,7.42,5,7.83,7.83
2,8.86,16.04,1,8.90,15.77,3,8.94,16.23,4,9.16,16.58,5,9.51,17.34
2,8.39,24.43,1,8.50,24.27,3,8.58,24.81,5,18.79,35.37,4,9.08,26.42
1,8.45,32.88,2,8.71,32.98,3,8.73,33.54,5,24.08,59.45,4,9.53,35.95
1,8.65,41.53,2,8.72,41.70,3,8.92,42.46,5,14.62,1:14.047,4,9.60,45.534
