FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME
2,13.72,13.72,1,13.60,13.60,4,14.01,14.01,3,13.84,13.84
2,10.97,24.69,1,11.00,24.61,4,11.00,25.01,3,10.98,24.82
2,11.28,35.98,1,11.26,35.87,4,11.13,36.15,3,11.17,36.00
1,10.87,46.86,2,11.17,47.04,4,11.12,47.28,3,11.10,47.10
1,10.14,57.00,2,10.08,57.13,4,10.09,57.37,3,10.14,57.24
1,9.92,1:06.92,3,10.03,1:07.16,4,10.06,1:07.44,2,9.82,1:07.07
1,9.79,1:16.72,2,9.69,1:16.86,4,10.19,1:17.63,3,9.86,1:16.94
2,9.70,1:26.43,3,9.74,1:26.60,4,10.40,1:28.03,1,9.42,1:26.37
2,9.65,1:36.073,3,10.02,1:36.615,4,11.41,1:39.436,1,9.28,1:35.642
