Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Furkan AKAR POSITION,Furkan AKAR LAP TIME,Furkan AKAR ELAPSED TIME,SLABODNIK Artsemi POSITION,SLABODNIK Artsemi LAP TIME,SLABODNIK Artsemi ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME
4,9.30,9.30,2,9.08,9.08,1,8.21,8.21,5,9.43,9.43,3,9.19,9.19,7,9.56,9.56,6,9.45,9.45
4,11.56,20.86,2,11.56,20.64,1,10.45,18.66,6,11.51,20.94,3,11.54,20.73,7,11.48,21.04,5,11.44,20.89
4,10.68,31.54,2,10.65,31.29,1,9.64,28.30,5,10.69,31.63,3,10.70,31.43,6,10.69,31.73,7,10.97,31.86
4,10.59,42.13,2,10.68,41.97,1,9.52,37.82,5,10.59,42.22,3,10.64,42.07,6,10.60,42.33,7,10.64,42.50
3,10.04,52.17,4,10.30,52.27,1,9.61,47.43,5,10.09,52.31,2,10.09,52.16,6,10.10,52.43,7,10.18,52.68
3,9.75,1:01.92,5,9.76,1:02.03,1,9.61,57.04,2,9.55,1:01.86,4,9.84,1:02.00,6,9.71,1:02.14,7,9.72,1:02.40
3,9.98,1:11.90,4,9.97,1:12.00,1,9.78,1:06.82,2,9.96,1:11.82,5,10.07,1:12.07,6,10.01,1:12.15,7,9.86,1:12.26
3,10.48,1:22.38,4,10.50,1:22.50,1,10.15,1:16.97,2,10.46,1:22.28,6,10.51,1:22.58,5,10.41,1:22.56,7,10.51,1:22.77
4,9.90,1:32.28,5,9.82,1:32.32,1,10.37,1:27.34,3,9.91,1:32.19,6,9.87,1:32.45,2,9.52,1:32.08,7,9.84,1:32.61
4,9.49,1:41.77,5,9.59,1:41.91,1,10.61,1:37.95,3,9.41,1:41.60,6,9.55,1:42.00,2,9.41,1:41.49,7,9.64,1:42.25
4,9.18,1:50.95,6,9.27,1:51.18,1,10.86,1:48.81,3,9.19,1:50.79,5,9.05,1:51.05,2,9.21,1:50.70,7,9.80,1:52.05
4,9.08,2:00.03,6,9.13,2:00.31,1,11.04,1:59.85,2,9.11,1:59.90,5,9.08,2:00.13,3,9.29,1:59.99,7,10.16,2:02.21
1,9.11,2:09.14,5,9.64,2:09.95,6,11.25,2:11.10,2,9.52,2:09.42,4,9.51,2:09.64,3,9.48,2:09.47,7,10.70,2:12.91
1,9.23,2:18.37,5,9.89,2:19.84,6,11.61,2:22.71,2,9.69,2:19.11,4,9.76,2:19.40,3,9.76,2:19.23,7,10.84,2:23.75
