SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Hailey CHOI POSITION,Hailey CHOI LAP TIME,Hailey CHOI ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
3,14.31,14.31,4,14.48,14.48,2,14.23,,1,13.98,13.98,5,14.63,14.63
3,11.00,25.31,4,10.97,25.45,2,10.97,,1,11.10,25.08,5,10.96,25.59
3,11.02,36.33,4,11.04,36.49,2,11.02,,1,11.03,36.11,5,11.01,36.60
3,10.24,46.57,4,10.20,46.69,2,10.27,,1,10.27,46.38,5,10.22,46.82
2,9.53,56.10,4,9.56,56.25,1,9.53,,3,9.84,56.22,5,9.58,56.40
1,9.34,1:05.44,3,9.49,1:05.74,2,9.51,,4,9.68,1:05.90,5,9.68,1:06.08
1,9.62,1:15.06,3,9.42,1:15.16,2,9.57,,4,9.75,1:15.65,5,9.71,1:15.79
3,10.15,1:25.21,1,9.60,1:24.76,2,9.71,,4,10.06,1:25.71,5,10.02,1:25.81
3,10.48,1:35.69,1,9.66,1:34.42,2,9.84,,3,10.31,1:36.023,4,10.27,1:36.089
