CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
2,13.79,13.79,3,13.97,13.97,4,14.07,14.07,1,13.77,13.77
2,10.59,24.38,4,10.55,24.52,3,10.37,24.44,1,10.61,24.38
3,10.02,34.40,4,10.00,34.52,1,9.53,33.97,2,9.72,34.10
3,9.48,43.88,4,9.44,43.96,1,9.58,43.55,2,9.56,43.66
3,9.57,53.45,4,9.57,53.53,1,9.68,53.23,2,9.69,53.35
3,9.83,1:03.28,4,9.82,1:03.35,1,9.81,1:03.04,2,9.83,1:03.18
3,9.84,1:13.12,4,9.87,1:13.22,1,9.85,1:12.89,2,9.84,1:13.02
3,9.96,1:23.08,4,9.96,1:23.18,1,9.98,1:22.87,2,9.99,1:23.01
0,,PEN,3,10.10,1:33.271,1,10.01,1:32.876,2,10.10,1:33.103
