Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
2,7.37,7.37,1,7.07,7.07,4,7.58,7.58,3,7.41,7.41
2,9.50,16.87,1,9.20,16.27,3,9.37,16.95,4,9.77,17.18
2,8.76,25.63,1,8.91,25.18,3,8.69,25.64,4,9.00,26.18
3,9.05,34.68,1,9.14,34.32,2,8.86,34.50,4,8.99,35.17
3,9.15,43.822,2,9.42,43.735,1,9.16,43.646,4,9.08,44.240
