Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
2,8.65,8.65,1,8.50,8.50,3,8.81,8.81,4,8.95,8.95,5,9.27,9.27
2,13.25,21.90,1,13.20,21.71,3,13.13,21.95,4,13.00,21.96,5,13.11,22.38
3,11.98,33.89,2,12.05,33.76,1,11.75,33.71,4,11.96,33.92,5,11.77,34.15
5,11.20,45.09,1,11.05,44.82,3,11.33,45.04,4,11.13,45.06,2,10.72,44.88
4,11.32,56.42,3,11.47,56.29,1,11.19,56.23,5,11.48,56.54,2,11.34,56.23
1,10.90,1:07.32,3,11.16,1:07.45,2,11.09,1:07.33,5,11.07,1:07.61,4,11.30,1:07.53
5,11.45,1:18.78,3,11.16,1:18.62,1,11.25,1:18.58,4,11.06,1:18.67,2,11.04,1:18.58
1,9.83,1:28.61,2,10.18,1:28.80,3,10.22,1:28.81,5,10.41,1:29.09,4,10.45,1:29.03
1,10.08,1:38.69,2,9.93,1:38.73,3,9.95,1:38.77,5,10.17,1:39.27,4,10.07,1:39.10
2,10.09,1:48.79,1,9.99,1:48.72,4,10.86,1:49.63,5,10.47,1:49.74,3,10.12,1:49.23
2,10.08,1:58.87,1,10.09,1:58.82,4,10.66,2:00.29,5,10.71,2:00.45,3,10.56,1:59.80
1,10.12,2:08.99,2,10.20,2:09.02,4,10.82,2:11.11,5,10.87,2:11.32,3,11.19,2:10.99
1,10.28,2:19.27,2,10.32,2:19.35,4,11.40,2:22.52,3,10.94,2:22.27,5,11.61,2:22.61
1,10.59,2:29.858,2,10.59,2:29.936,3,10.94,2:33.457,4,11.72,2:33.981,5,12.30,2:34.905
