Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
2,12.195,12.195,3,12.271,12.271,1,12.088,12.088,4,12.289,12.289
2,9.096,21.290,4,9.147,21.418,1,9.093,21.180,3,9.077,21.366
2,8.966,30.256,4,8.996,30.413,1,9.029,30.209,3,8.940,30.305
2,9.023,39.279,4,9.120,39.533,3,9.073,39.281,1,8.920,39.224
1,9.137,48.416,4,9.173,48.705,2,9.154,48.435,3,9.261,48.485
1,8.972,57.387,4,8.999,57.704,2,8.956,57.390,3,9.113,57.597
1,9.343,1:06.730,4,9.324,1:07.028,2,9.475,1:06.865,3,9.309,1:06.906
1,9.273,1:16.002,4,9.361,1:16.389,3,9.263,1:16.128,2,9.183,1:16.089
1,9.70,1:25.700,4,9.82,1:26.202,3,9.89,1:26.017,2,9.69,1:25.779
