GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Philemon RAINER POSITION,Philemon RAINER LAP TIME,Philemon RAINER ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
3,12.36,12.36,2,12.15,12.15,1,11.60,11.60,4,12.55,12.55,5,12.83,12.83
3,15.70,28.06,2,15.73,27.88,1,16.13,27.73,4,15.58,28.13,5,15.49,28.32
3,15.35,43.41,2,15.35,43.23,1,15.38,43.11,4,15.40,43.53,5,15.46,43.78
3,14.96,58.37,2,14.93,58.16,1,14.89,58.00,4,14.99,58.52,5,14.97,58.75
3,14.37,1:12.74,2,14.34,1:12.50,1,14.36,1:12.36,4,14.38,1:12.90,5,14.36,1:13.11
2,13.99,1:26.73,4,14.28,1:26.78,1,14.29,1:26.65,5,14.11,1:27.01,3,13.64,1:26.75
2,10.00,1:36.73,3,10.33,1:37.11,4,10.73,1:37.38,5,10.84,1:37.85,1,9.57,1:36.32
2,9.15,1:45.88,3,9.32,1:46.43,4,9.45,1:46.83,5,9.97,1:47.82,1,8.98,1:45.30
2,9.24,1:55.12,3,9.20,1:55.63,4,9.94,1:56.77,5,10.02,1:57.84,1,8.85,1:54.15
2,9.36,2:04.48,3,9.26,2:04.89,4,10.54,2:07.31,5,10.30,2:08.14,1,8.89,2:03.04
2,9.73,2:14.21,3,9.41,2:14.30,4,10.64,2:17.95,5,10.45,2:18.59,1,9.03,2:12.07
3,10.13,2:24.34,2,9.87,2:24.17,4,10.80,2:28.75,5,10.58,2:29.17,1,9.54,2:21.61
3,10.06,2:34.40,2,10.10,2:34.27,4,10.86,2:39.61,5,10.75,2:39.92,1,10.25,2:31.86
3,10.22,2:44.605,2,10.13,2:44.377,4,11.10,2:50.688,5,11.11,2:51.011,1,11.08,2:42.912
