Roman IZBICKI POSITION,Roman IZBICKI LAP TIME,Roman IZBICKI ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME
0,9.202,9.202,0,8.774,8.774,0,8.662,8.662,0,8.736,8.736,0,9.036,9.036,0,9.374,9.374
0,12.527,21.729,0,12.715,21.489,0,12.596,21.258,0,12.767,21.503,0,12.605,21.641,0,12.448,21.822
0,12.367,34.096,0,11.828,33.317,0,12.024,33.281,0,11.973,33.477,0,11.989,33.629,0,11.918,33.740
0,11.535,45.631,0,11.999,45.316,0,11.986,45.267,0,11.925,45.402,0,11.887,45.516,0,11.967,45.707
0,12.026,57.657,0,12.050,57.366,0,12.029,57.297,0,12.059,57.461,0,11.992,57.508,0,12.008,57.715
0,11.892,1:09.549,0,11.976,1:09.342,0,11.915,1:09.211,0,12.010,1:09.471,0,11.928,1:09.436,0,11.904,1:09.619
0,10.676,1:20.225,0,10.562,1:19.905,0,10.811,1:20.022,0,10.771,1:20.242,0,10.499,1:19.935,0,10.649,1:20.269
0,10.318,1:30.543,0,10.350,1:30.255,0,10.408,1:30.429,0,10.599,1:30.840,0,10.221,1:30.156,0,10.156,1:30.424
0,10.625,1:41.168,0,10.637,1:40.892,0,10.539,1:40.968,0,10.627,1:41.467,0,10.670,1:40.826,0,10.720,1:41.144
0,9.807,1:50.976,0,9.981,1:50.873,0,9.746,1:50.714,0,9.929,1:51.396,0,9.952,1:50.778,0,10.001,1:51.145
0,9.811,2:00.787,0,9.579,2:00.452,0,9.506,2:00.220,0,9.920,2:01.316,0,9.442,2:00.220,0,9.890,2:01.035
0,9.713,2:10.500,0,9.160,2:09.612,0,9.288,2:09.508,0,9.800,2:11.115,0,9.273,2:09.493,0,10.343,2:11.378
0,9.966,2:20.466,0,9.409,2:19.021,0,9.345,2:18.853,0,9.793,2:20.908,0,9.457,2:18.950,0,11.322,2:22.699
0,10.453,2:30.919,0,9.625,2:28.646,0,9.483,2:28.336,0,10.063,2:30.971,0,9.136,2:28.086,0,11.925,2:34.624
