SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,12.60,12.60,4,12.72,12.72,1,12.39,12.39,2,12.49,12.49
2,9.49,22.09,4,9.52,22.24,1,9.60,21.99,3,9.66,22.15
2,9.33,31.42,4,9.34,31.58,1,9.36,31.35,3,9.36,31.51
2,9.36,40.78,4,9.41,40.99,1,9.35,40.70,3,9.37,40.88
1,9.04,49.82,4,9.23,50.22,2,9.25,49.95,3,9.22,50.10
1,8.99,58.81,4,8.93,59.15,2,8.97,58.92,3,8.97,59.07
1,9.02,1:07.83,4,9.03,1:08.18,2,9.01,1:07.93,3,8.95,1:08.02
1,9.07,1:16.90,4,9.07,1:17.25,2,9.09,1:17.02,3,9.07,1:17.09
1,9.32,1:26.218,3,9.52,1:26.766,2,9.27,1:26.286,4,22.73,1:39.816
