KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
1,10.87,10.87,3,11.12,11.12,2,10.98,10.98,4,11.31,11.31,5,11.47,11.47,6,11.69,11.69
1,18.03,28.90,4,18.11,29.23,2,17.95,28.93,5,18.13,29.44,3,17.55,29.02,6,18.03,29.72
2,16.75,45.65,4,16.71,45.94,1,16.48,45.41,5,16.63,46.07,3,16.73,45.75,6,16.58,46.30
3,16.08,1:01.73,5,16.05,1:01.99,1,16.01,1:01.42,2,15.58,1:01.65,4,16.10,1:01.85,6,15.89,1:02.19
3,11.96,1:13.69,5,11.98,1:13.97,2,12.12,1:13.54,1,11.79,1:13.44,4,11.98,1:13.83,6,11.93,1:14.12
3,12.47,1:26.16,5,12.43,1:26.40,1,12.33,1:25.87,2,12.50,1:25.94,4,12.44,1:26.27,6,12.42,1:26.54
3,11.39,1:37.55,5,11.35,1:37.75,1,11.40,1:37.27,2,11.44,1:37.38,4,11.38,1:37.65,6,11.35,1:37.89
3,10.98,1:48.53,5,11.01,1:48.76,2,11.04,1:48.31,1,10.92,1:48.30,4,10.99,1:48.64,6,11.00,1:48.89
3,10.30,1:58.83,5,10.25,1:59.01,2,10.39,1:58.70,1,10.30,1:58.60,4,10.28,1:58.92,6,10.27,1:59.16
3,9.98,2:08.81,5,10.09,2:09.10,2,10.02,2:08.72,1,10.04,2:08.64,4,10.00,2:08.92,6,10.07,2:09.23
3,10.04,2:18.85,5,9.98,2:19.08,2,9.99,2:18.71,1,9.97,2:18.61,4,10.05,2:18.97,6,9.98,2:19.21
3,9.62,2:28.47,6,9.84,2:28.92,1,9.62,2:28.33,2,9.72,2:28.33,4,9.61,2:28.58,5,9.50,2:28.71
2,9.30,2:37.77,6,10.16,2:39.08,1,9.43,2:37.76,3,9.61,2:37.94,4,9.43,2:38.01,5,9.37,2:38.08
1,9.28,2:47.042,6,11.00,2:50.073,2,9.59,2:47.344,3,9.65,2:47.584,4,9.64,2:47.644,5,9.65,2:47.727
