Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME
1,7.49,7.49,3,7.79,7.79,2,7.62,7.62,4,7.94,7.94
1,9.65,17.14,2,9.58,17.37,3,9.76,17.38,4,9.53,17.47
3,9.53,26.67,1,8.91,26.28,4,9.40,26.78,2,9.18,26.65
3,9.59,36.26,1,9.21,35.49,4,9.54,36.32,2,9.36,36.01
4,10.13,46.381,1,9.45,44.934,3,9.95,46.268,2,9.35,45.358
