HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,11.49,11.49,4,11.87,11.87,5,11.97,11.97,2,11.66,11.66,3,11.78,11.78,6,12.03,
4,17.58,29.07,3,17.12,28.99,5,17.17,29.14,1,17.14,28.80,2,17.16,28.94,6,17.16,
6,15.02,44.09,5,14.92,43.91,4,14.76,43.90,2,14.83,43.63,3,14.85,43.79,1,14.28,
5,12.18,56.27,4,12.21,56.12,6,12.46,56.36,2,12.32,55.95,3,12.18,55.97,1,12.35,
6,11.75,1:08.02,2,11.43,1:07.55,5,11.44,1:07.80,4,11.74,1:07.69,3,11.60,1:07.57,1,11.69,
6,10.39,1:18.41,1,10.23,1:17.78,5,10.45,1:18.25,4,10.43,1:18.12,3,10.43,1:18.00,2,10.34,
6,9.41,1:27.82,1,9.53,1:27.31,5,9.43,1:27.68,4,9.44,1:27.56,2,9.38,1:27.38,3,9.56,
5,9.36,1:37.18,1,9.50,1:36.81,6,9.52,1:37.20,3,9.41,1:36.97,2,9.44,1:36.82,4,9.64,
6,9.37,1:46.55,2,9.20,1:46.01,5,9.09,1:46.29,3,9.12,1:46.09,1,9.09,1:45.91,4,9.16,
6,9.08,1:55.63,1,9.11,1:55.12,5,9.22,1:55.51,3,9.21,1:55.30,2,9.27,1:55.18,4,9.21,
6,9.17,2:04.80,1,9.01,2:04.13,4,9.06,2:04.57,3,9.06,2:04.36,2,9.02,2:04.20,5,9.27,
6,9.27,2:14.07,1,8.99,2:13.12,4,9.02,2:13.59,3,8.92,2:13.28,2,8.99,2:13.19,5,8.91,
6,9.61,2:23.68,1,9.15,2:22.27,4,9.00,2:22.59,3,9.25,2:22.53,2,9.14,2:22.33,5,9.05,
4,10.00,2:33.68,1,9.36,2:31.63,3,9.38,2:31.97,2,9.30,2:31.83,5,19.26,2:41.59,6,21.43,
