Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Lubomir POPOVSKI POSITION,Lubomir POPOVSKI LAP TIME,Lubomir POPOVSKI ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
2,14.700,14.700,1,14.628,14.628,3,14.849,14.849,4,14.979,14.979,5,15.113,15.113
2,11.177,25.876,1,10.996,25.624,3,11.116,25.964,4,11.113,26.091,5,11.085,26.197
1,9.995,35.871,4,10.377,36.001,3,10.001,35.965,5,10.089,36.180,2,9.742,35.939
2,9.664,45.534,1,9.290,45.291,3,9.594,45.558,5,9.610,45.790,4,9.752,45.690
2,9.699,55.232,1,9.650,54.940,3,9.778,55.336,5,9.825,55.615,4,9.855,55.544
1,9.095,1:04.327,2,9.515,1:04.455,3,9.391,1:04.727,5,9.439,1:05.053,4,9.316,1:04.859
1,9.224,1:13.551,2,9.289,1:13.744,3,9.400,1:14.127,5,9.285,1:14.337,4,9.414,1:14.273
1,9.403,1:22.953,2,9.365,1:23.108,3,9.507,1:23.633,5,9.746,1:24.083,4,9.517,1:23.789
1,9.87,1:32.815,2,10.06,1:33.165,3,9.81,1:33.434,5,10.65,1:34.733,4,9.92,1:33.705
