Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,CHANG Yung-Tai POSITION,CHANG Yung-Tai LAP TIME,CHANG Yung-Tai ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME
3,7.222,7.222,4,7.799,7.799,5,7.855,7.855,2,7.159,7.159,1,6.865,6.865
2,9.471,16.692,5,10.268,18.066,4,9.666,17.521,3,9.613,16.772,1,9.252,16.116
2,9.207,25.898,5,9.964,28.030,4,9.510,27.031,3,9.171,25.942,1,9.297,25.413
2,9.361,35.259,5,10.661,38.691,4,9.747,36.778,3,9.349,35.291,1,9.464,34.877
2,9.74,44.993,5,10.83,49.517,4,10.09,46.859,3,9.87,45.157,1,9.74,44.617
