Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
2,8.56,8.56,1,8.43,8.43,3,8.76,8.76,4,8.87,8.87,5,9.00,9.00,6,9.41,9.41
2,12.58,21.14,1,12.59,21.02,3,12.55,21.31,5,12.62,21.49,4,12.41,21.41,6,12.26,21.67
3,11.72,32.86,1,11.61,32.63,5,11.82,33.13,4,11.37,32.86,2,11.34,32.75,6,11.56,33.23
4,11.41,44.27,1,11.47,44.10,3,11.11,44.24,5,11.41,44.27,2,11.49,44.24,6,11.33,44.56
4,10.61,54.88,1,10.52,54.62,2,10.53,54.77,5,10.61,54.88,3,10.60,54.84,6,10.78,55.34
4,10.59,1:05.47,1,10.52,1:05.14,2,10.61,1:05.38,5,10.65,1:05.53,3,10.62,1:05.46,6,10.43,1:05.77
4,10.39,1:15.86,1,10.53,1:15.67,2,10.38,1:15.76,3,10.24,1:15.77,5,10.40,1:15.86,6,10.39,1:16.16
5,10.05,1:25.91,1,9.84,1:25.51,4,10.06,1:25.82,6,10.20,1:25.97,3,9.87,1:25.73,2,9.57,1:25.73
3,9.51,1:35.42,1,9.48,1:34.99,6,26.30,1:52.12,2,9.29,1:35.26,4,11.74,1:37.47,5,22.77,1:48.50
3,9.42,1:44.84,2,9.68,1:44.67,6,15.42,2:07.54,1,9.33,1:44.59,4,7.55,1:45.02,5,16.55,2:05.05
3,9.52,1:54.36,2,9.55,1:54.22,6,12.46,2:20.00,1,9.42,1:54.01,4,9.69,1:54.71,5,11.95,2:17.00
2,9.54,2:03.90,3,9.77,2:03.99,6,11.84,2:31.84,1,9.60,2:03.61,4,9.86,2:04.57,5,11.68,2:28.68
1,9.74,2:13.64,2,9.67,2:13.66,6,11.79,2:43.63,3,10.06,2:13.67,4,10.17,2:14.74,5,11.52,2:40.20
3,17.05,2:30.690,0,,DQ,0,,DQ,1,11.01,2:24.678,2,10.73,2:25.464,0,,DNF
