Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME
3,12.85,12.85,1,12.55,12.55,2,12.65,12.65,4,12.97,12.97
3,10.19,23.04,1,10.22,22.77,2,10.25,22.90,4,10.16,23.13
3,10.26,33.30,1,10.20,32.97,2,10.18,33.08,4,10.29,33.42
3,9.53,42.83,1,9.65,42.62,2,9.73,42.81,4,9.56,42.98
2,9.25,52.08,1,9.36,51.98,3,9.47,52.28,4,14.46,57.44
2,9.19,1:01.27,1,9.15,1:01.13,3,9.23,1:01.51,4,18.81,1:16.25
2,9.33,1:10.60,1,9.36,1:10.49,3,9.37,1:10.88,4,14.38,1:30.63
1,9.14,1:19.74,2,9.43,1:19.92,3,9.43,1:20.31,4,12.36,1:42.99
1,9.48,1:29.218,2,9.45,1:29.362,3,9.57,1:29.878,4,12.03,1:55.011
