Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,12.06,12.06,2,12.22,12.22,4,12.52,12.52,3,12.37,12.37,5,12.71,12.71
2,9.20,21.26,3,9.15,21.37,4,8.88,21.40,1,8.77,21.14,5,8.90,21.61
1,8.99,30.25,4,9.18,30.55,3,9.05,30.45,2,9.20,30.34,5,9.02,30.63
1,8.92,39.17,4,8.95,39.50,3,8.93,39.38,2,8.94,39.28,5,8.95,39.58
1,9.02,48.19,5,9.14,48.64,3,9.01,48.39,2,9.00,48.28,4,8.89,48.47
1,9.06,57.25,5,8.97,57.61,1,8.86,57.25,3,9.13,57.41,4,9.00,57.47
3,9.31,1:06.56,5,9.11,1:06.72,1,9.02,1:06.27,2,9.02,1:06.43,3,9.09,1:06.56
4,9.45,1:16.01,5,9.43,1:16.15,1,9.09,1:15.36,3,9.16,1:15.59,2,8.83,1:15.39
5,9.90,1:25.892,4,9.03,1:25.162,2,9.28,1:24.628,3,9.40,1:24.978,1,9.07,1:24.446
