Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
2,8.57,8.57,6,9.05,9.05,3,8.74,8.74,1,8.44,8.44,7,9.18,9.18,4,8.92,8.92,5,8.97,8.97
3,11.49,20.06,7,11.35,20.40,4,11.44,20.18,2,11.48,19.92,6,11.17,20.35,5,11.35,20.27,1,10.84,19.81
3,10.02,30.08,7,10.25,30.65,4,9.97,30.15,2,10.01,29.93,6,10.20,30.55,5,10.14,30.41,1,10.02,29.83
3,10.09,40.17,7,9.76,40.41,3,10.02,40.17,2,10.15,40.08,6,9.82,40.37,5,9.92,40.33,1,10.15,39.98
4,9.90,50.07,7,9.98,50.39,5,10.03,50.20,3,9.84,49.92,1,9.12,49.49,6,10.00,50.33,2,9.84,49.82
4,9.47,59.54,7,9.45,59.84,5,9.45,59.65,2,9.40,59.32,1,9.54,59.03,6,9.35,59.68,3,9.55,59.37
5,9.46,1:09.00,6,9.25,1:09.09,7,9.61,1:09.26,1,9.39,1:08.71,2,9.69,1:08.72,3,9.18,1:08.86,4,9.55,1:08.92
5,9.58,1:18.58,4,9.32,1:18.41,7,9.49,1:18.75,1,9.43,1:18.14,2,9.53,1:18.25,3,9.46,1:18.32,6,9.82,1:18.74
5,9.69,1:28.27,4,9.70,1:28.11,6,9.66,1:28.41,2,9.67,1:27.81,1,9.50,1:27.75,3,9.66,1:27.98,7,9.82,1:28.56
5,9.55,1:37.82,4,9.32,1:37.43,6,9.55,1:37.96,2,9.37,1:37.18,1,9.34,1:37.09,3,9.33,1:37.31,7,9.60,1:38.16
6,9.84,1:47.66,4,9.29,1:46.72,5,9.50,1:47.46,1,9.22,1:46.40,2,9.35,1:46.44,3,9.26,1:46.57,7,9.72,1:47.88
7,10.11,1:57.77,4,9.27,1:55.99,5,9.63,1:57.09,1,9.21,1:55.61,2,9.33,1:55.77,3,9.21,1:55.78,6,9.86,1:57.74
7,10.50,2:08.27,4,9.25,2:05.24,5,9.83,2:06.92,1,9.25,2:04.86,3,9.37,2:05.14,2,9.18,2:04.96,6,10.02,2:07.76
7,11.60,2:19.87,4,9.60,2:14.84,5,10.15,2:17.07,1,9.36,2:14.22,3,9.63,2:14.77,2,9.33,2:14.29,6,10.36,2:18.12
