Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME
2,9.300,9.300,5,9.460,9.460,1,9.030,9.030,4,9.430,9.430,6,9.740,9.740,3,9.360,9.360
2,11.520,20.820,4,11.710,21.170,1,11.760,20.790,5,11.750,21.180,6,11.620,21.360,3,11.720,21.090
3,10.940,31.760,4,10.750,31.930,1,10.890,31.690,2,10.530,31.710,6,10.800,32.160,5,10.870,31.960
3,11.370,43.130,5,11.400,43.330,2,11.360,43.050,1,11.330,43.050,6,11.180,43.340,4,11.290,43.250
3,11.300,54.440,5,11.360,54.700,2,11.320,54.370,1,11.280,54.330,6,11.560,54.910,4,11.380,54.640
3,10.510,1:04.960,4,10.390,1:05.090,1,10.450,1:04.830,2,10.530,1:04.860,6,10.380,1:05.290,5,10.460,1:05.100
3,9.890,1:14.850,5,10.070,1:15.170,2,10.010,1:14.840,1,9.960,1:14.820,6,10.030,1:15.320,4,10.050,1:15.150
3,9.840,1:24.690,5,9.770,1:24.940,1,9.770,1:24.610,2,9.830,1:24.660,6,9.790,1:25.110,4,9.700,1:24.860
3,9.700,1:34.390,4,9.680,1:34.630,2,9.710,1:34.330,1,9.640,1:34.300,6,9.720,1:34.840,5,9.800,1:34.670
3,9.650,1:44.050,4,9.670,1:44.300,2,9.590,1:43.920,1,9.600,1:43.910,5,9.550,1:44.390,6,9.760,1:44.430
3,9.730,1:53.790,5,9.740,1:54.040,1,9.710,1:53.630,2,9.820,1:53.730,4,9.520,1:53.920,6,10.160,1:54.590
4,9.780,2:03.570,6,9.800,2:03.850,2,9.780,2:03.420,5,9.860,2:03.600,1,9.320,2:03.240,3,8.870,2:03.470
3,10.050,2:13.620,6,10.070,2:13.930,2,9.750,2:13.170,4,10.170,2:13.770,1,9.550,2:12.790,5,10.310,2:13.780
3,10.390,2:24.020,6,10.320,2:24.250,2,10.190,2:23.370,5,10.370,2:24.150,1,10.330,2:23.120,4,10.250,2:24.030
