VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
1,15.06,15.06,2,15.17,15.17,3,15.30,15.30,4,15.43,15.43
1,12.51,27.57,2,12.50,27.67,4,12.55,27.85,3,12.36,27.79
2,10.82,38.39,3,10.90,38.57,4,10.84,38.69,1,10.43,38.22
2,10.40,48.79,3,10.31,48.88,4,10.31,49.00,1,10.44,48.66
2,10.28,59.07,3,10.28,59.16,4,10.31,59.31,1,10.29,58.95
2,10.27,1:09.34,3,10.26,1:09.42,4,10.14,1:09.45,1,10.25,1:09.20
1,9.82,1:19.16,4,10.16,1:19.58,2,9.87,1:19.32,3,10.14,1:19.34
1,9.89,1:29.05,4,9.94,1:29.52,2,9.85,1:29.17,3,10.05,1:29.39
1,10.15,1:39.194,4,10.60,1:40.119,2,10.20,1:39.364,3,10.29,1:39.679
