Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME,Ekaterina GULYAEVA POSITION,Ekaterina GULYAEVA LAP TIME,Ekaterina GULYAEVA ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
0,,,0,8.965,8.965,0,8.794,8.794,0,9.181,9.181,0,9.245,9.245,0,9.051,9.051
0,,22.051,0,13.120,22.085,0,12.779,21.572,0,12.034,21.214,0,12.947,22.191,0,12.752,21.803
0,11.358,33.409,0,11.422,33.507,0,11.606,33.178,0,11.896,33.111,0,11.468,33.659,0,11.717,33.520
0,12.350,45.759,0,12.367,45.874,0,12.191,45.369,0,12.728,45.838,0,12.105,45.764,0,12.050,45.571
0,11.234,56.993,0,11.176,57.050,0,11.169,56.538,0,10.789,56.627,0,11.293,57.057,0,11.266,56.837
0,11.037,1:08.030,0,10.942,1:07.992,0,11.179,1:07.717,0,11.044,1:07.671,0,11.082,1:08.140,0,11.079,1:07.916
0,10.502,1:18.532,0,10.253,1:18.245,0,10.675,1:18.392,0,10.881,1:18.552,0,10.734,1:18.873,0,10.679,1:18.595
0,10.351,1:28.883,0,10.410,1:28.654,0,10.391,1:28.783,0,10.547,1:29.098,0,10.425,1:29.298,0,10.499,1:29.094
0,11.082,1:39.965,0,10.899,1:39.553,0,10.897,1:39.681,0,10.949,1:40.047,0,10.839,1:40.137,0,10.898,1:39.992
0,10.615,1:50.580,0,10.693,1:50.246,0,10.700,1:50.381,0,10.739,1:50.785,0,11.080,1:51.217,0,10.688,1:50.680
0,10.489,2:01.069,0,10.449,2:00.695,0,10.559,2:00.940,0,10.639,2:01.424,0,11.636,2:02.852,0,10.571,2:01.250
0,10.547,2:11.616,0,10.508,2:11.203,0,10.545,2:11.485,0,11.142,2:12.566,0,12.473,2:15.325,0,10.470,2:11.720
0,10.220,2:21.836,0,10.608,2:21.811,0,10.857,2:22.341,0,12.048,2:24.615,0,13.007,2:28.333,0,10.280,2:22.000
0,,,0,,,0,,,0,,,0,,,0,,
