CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
3,10.42,10.42,1,10.25,10.25,6,10.77,10.77,5,10.59,10.59,2,10.28,10.28,4,10.47,10.47
4,15.46,25.88,3,15.52,25.77,6,15.44,26.21,2,15.13,25.72,1,15.32,25.60,5,15.55,26.02
4,13.67,39.55,3,13.66,39.43,6,13.59,39.80,1,13.44,39.16,2,13.67,39.27,5,13.65,39.67
4,13.91,53.46,3,13.90,53.33,6,13.96,53.76,1,13.88,53.04,2,13.89,53.16,5,13.92,53.59
4,13.45,1:06.91,2,13.32,1:06.65,6,13.34,1:07.10,1,13.58,1:06.62,3,13.57,1:06.73,5,13.49,1:07.08
5,11.16,1:18.07,2,10.97,1:17.62,1,10.31,1:17.41,4,11.29,1:17.91,3,10.99,1:17.72,6,11.11,1:18.19
5,9.82,1:27.89,3,9.93,1:27.55,1,10.04,1:27.45,4,9.82,1:27.73,2,9.81,1:27.53,6,9.81,1:28.00
3,9.81,1:37.70,6,10.82,1:38.37,1,9.95,1:37.40,2,9.83,1:37.56,5,10.54,1:38.07,4,9.84,1:37.84
3,9.92,1:47.62,6,9.86,1:48.23,1,9.98,1:47.38,2,9.95,1:47.51,5,9.76,1:47.83,4,9.90,1:47.74
3,10.05,1:57.67,6,10.05,1:58.28,1,10.05,1:57.43,2,10.03,1:57.54,5,10.03,1:57.86,4,10.03,1:57.77
3,9.95,2:07.62,6,10.35,2:08.63,1,10.15,2:07.58,2,10.07,2:07.61,5,10.04,2:07.90,4,9.96,2:07.73
1,9.36,2:16.98,6,10.62,2:19.25,4,10.23,2:17.81,3,10.10,2:17.71,5,10.13,2:18.03,2,9.97,2:17.70
1,9.71,2:26.69,6,11.35,2:30.60,4,10.29,2:28.10,3,10.29,2:28.00,5,10.32,2:28.35,2,9.57,2:27.27
1,10.36,2:37.050,0,,PEN,3,10.32,2:38.412,4,10.43,2:38.422,5,10.71,2:39.055,2,9.96,2:37.223
